Timer,BoxNum,Position,Data,pos-2,pos6,pos13,pos19,pos27,pos33,pos34,pos35,pos36,pos37,pos38,pos42,pos-2,pos6,pos13,pos19,pos27,pos33,pos34,pos35,pos36,pos37,pos38,pos42
15:16:34,8,36,0.79,0.01,-0.06,-0.03,-0.17,-0.16,-0.15,-0.13,-0.1,-0.11,-0.11,-0.09,0,0.01,-0.11,-0.17,-0.26,-0.42,-0.79,-0.81,-0.86,-0.9,-0.77,-0.63,0
15:18:32,8,36,0.79,0.01,-0.06,-0.03,-0.17,-0.16,-0.15,-0.13,-0.1,-0.11,-0.11,-0.09,0,0.01,-0.11,-0.17,-0.26,-0.42,-0.79,-0.81,-0.86,-0.9,-0.77,-0.63,0
15:19:52,5,36,0.79,-0.01,-0.09,-0.05,-0.19,-0.17,-0.18,-0.14,-0.12,-0.13,-0.13,-0.11,-0.03,-0.01,-0.13,-0.21,-0.27,-0.45,-0.82,-0.84,-0.9,-0.92,-0.8,-0.65,-0.11
15:21:14,8,36,0.8,0.01,-0.06,-0.03,-0.17,-0.15,-0.15,-0.12,-0.09,-0.1,-0.1,-0.08,0.01,0.01,-0.1,-0.17,-0.25,-0.41,-0.79,-0.81,-0.86,-0.9,-0.77,-0.62,0.01
15:28:33,8,35,0.83,0.01,-0.07,-0.02,-0.14,-0.15,-0.15,-0.12,-0.1,-0.11,-0.1,-0.08,0.01,0.01,-0.11,-0.19,-0.27,-0.48,-0.86,-0.87,-0.93,-0.91,-0.77,-0.63,0.01
15:30:28,8,36,0.79,0.01,-0.06,-0.03,-0.17,-0.15,-0.15,-0.12,-0.1,-0.1,-0.1,-0.08,0.01,0.01,-0.11,-0.17,-0.26,-0.41,-0.79,-0.81,-0.86,-0.89,-0.77,-0.62,0.01
15:30:59,5,36,0.79,-0.01,-0.09,-0.05,-0.19,-0.17,-0.18,-0.14,-0.12,-0.13,-0.13,-0.11,-0.03,-0.01,-0.13,-0.21,-0.27,-0.45,-0.82,-0.84,-0.9,-0.92,-0.8,-0.65,-0.11
15:31:04,5,36,0.79,-0.01,-0.09,-0.05,-0.19,-0.17,-0.18,-0.14,-0.12,-0.13,-0.13,-0.11,-0.03,-0.01,-0.13,-0.21,-0.27,-0.45,-0.82,-0.84,-0.9,-0.92,-0.8,-0.65,-0.11
15:34:59,8,36,0.8,0.01,-0.06,-0.03,-0.17,-0.15,-0.15,-0.12,-0.09,-0.1,-0.1,-0.08,0.01,0.01,-0.1,-0.17,-0.25,-0.41,-0.79,-0.81,-0.86,-0.9,-0.77,-0.62,0.01
15:35:36,5,36,0.79,-0.01,-0.09,-0.05,-0.19,-0.17,-0.18,-0.14,-0.12,-0.13,-0.13,-0.11,-0.03,-0.01,-0.13,-0.21,-0.27,-0.45,-0.82,-0.84,-0.9,-0.92,-0.8,-0.65,-0.11
15:38:18,5,36,0.79,-0.01,-0.09,-0.05,-0.19,-0.17,-0.18,-0.14,-0.12,-0.13,-0.13,-0.11,-0.03,-0.01,-0.13,-0.21,-0.27,-0.45,-0.82,-0.84,-0.9,-0.92,-0.8,-0.65,-0.11
15:38:22,5,36,0.79,-0.01,-0.09,-0.05,-0.19,-0.17,-0.18,-0.14,-0.12,-0.13,-0.13,-0.11,-0.03,-0.01,-0.13,-0.21,-0.27,-0.45,-0.82,-0.84,-0.9,-0.92,-0.8,-0.65,-0.11
15:38:24,5,36,0.79,-0.01,-0.09,-0.05,-0.19,-0.17,-0.18,-0.14,-0.12,-0.13,-0.13,-0.11,-0.03,-0.01,-0.13,-0.21,-0.27,-0.45,-0.82,-0.84,-0.9,-0.92,-0.8,-0.65,-0.11
15:38:29,5,36,0.79,-0.01,-0.09,-0.05,-0.19,-0.17,-0.18,-0.14,-0.12,-0.13,-0.13,-0.11,-0.03,-0.01,-0.13,-0.21,-0.27,-0.45,-0.82,-0.84,-0.9,-0.92,-0.8,-0.65,-0.11
15:38:34,5,36,0.79,-0.01,-0.09,-0.05,-0.19,-0.17,-0.18,-0.14,-0.12,-0.13,-0.13,-0.11,-0.03,-0.01,-0.13,-0.21,-0.27,-0.45,-0.82,-0.84,-0.9,-0.92,-0.8,-0.65,-0.11
15:38:39,5,36,0.79,-0.01,-0.09,-0.05,-0.19,-0.17,-0.18,-0.14,-0.12,-0.13,-0.13,-0.11,-0.03,-0.01,-0.13,-0.21,-0.27,-0.45,-0.82,-0.84,-0.9,-0.92,-0.8,-0.65,-0.11
15:38:51,8,36,0.8,0.01,-0.06,-0.03,-0.17,-0.15,-0.15,-0.12,-0.09,-0.1,-0.1,-0.08,0.01,0.01,-0.1,-0.17,-0.25,-0.41,-0.79,-0.81,-0.86,-0.9,-0.77,-0.62,0.01
15:57:54,8,36,0.8,0.01,-0.06,-0.03,-0.17,-0.15,-0.15,-0.12,-0.09,-0.1,-0.1,-0.08,0.01,0.01,-0.1,-0.17,-0.25,-0.41,-0.79,-0.81,-0.86,-0.9,-0.77,-0.62,0.01
15:58:04,8,36,0.8,0.01,-0.06,-0.03,-0.17,-0.15,-0.15,-0.12,-0.09,-0.1,-0.1,-0.08,0.01,0.01,-0.1,-0.17,-0.25,-0.41,-0.79,-0.81,-0.86,-0.9,-0.77,-0.62,0.01
16:08:42,8,36,0.8,0.01,-0.06,-0.03,-0.17,-0.15,-0.15,-0.12,-0.09,-0.1,-0.1,-0.08,0.01,0.01,-0.1,-0.17,-0.25,-0.41,-0.79,-0.81,-0.86,-0.9,-0.77,-0.62,0.01
16:10:21,8,36,0.8,0.01,-0.06,-0.03,-0.17,-0.15,-0.15,-0.12,-0.09,-0.1,-0.1,-0.08,0.01,0.01,-0.1,-0.17,-0.25,-0.41,-0.79,-0.81,-0.86,-0.9,-0.77,-0.62,0.01
16:10:37,8,36,0.8,0.01,-0.06,-0.03,-0.17,-0.15,-0.15,-0.12,-0.09,-0.1,-0.1,-0.08,0.01,0.01,-0.1,-0.17,-0.25,-0.41,-0.79,-0.81,-0.86,-0.9,-0.77,-0.62,0.01
16:10:37,8,36,0.8,0.01,-0.06,-0.03,-0.17,-0.15,-0.15,-0.12,-0.09,-0.17,-0.1,-0.08,0.01,0.01,-0.1,-0.17,-0.25,-0.41,-0.79,-0.81,-0.86,-0.9,-0.77,-0.62,0.01
17:18:08,5,36,0.79,-0.01,-0.09,-0.05,-0.19,-0.17,-0.18,-0.14,-0.12,-0.13,-0.13,-0.11,-0.03,-0.01,-0.13,-0.21,-0.27,-0.45,-0.82,-0.84,-0.9,-0.92,-0.8,-0.65,-0.11
17:18:17,5,36,0.79,-0.01,-0.09,-0.05,-0.19,-0.17,-0.18,-0.14,-0.12,-0.13,-0.13,-0.11,-0.03,-0.01,-0.13,-0.21,-0.27,-0.45,-0.82,-0.84,-0.9,-0.92,-0.8,-0.65,-0.11
